Image_A,Image_B,SSIM_Score
anemo_0_07.29_11.26.33_16.jpg,anemo_0_07.29_11.26.33_10.jpg,0.9058810417112061
selected_frame_999572.jpg,selected_frame_688678.jpg,0.9364907839117367
anemo_0_07.26_11.56.33_1.jpg,anemo_0_07.26_11.56.33_23.jpg,0.9412456307738901
anemo_0_07.29_11.26.33_20.jpg,anemo_0_07.29_11.26.33_19.jpg,0.9169325772864774
anemo_0_07.25_14.38.33._0.jpg,anemo_0_07.25_14.38.33._6.jpg,0.932602703892718
anemo_0_07.25_21.56.33_7.jpg,anemo_0_07.25_21.56.33_16.jpg,0.9400857631119695
anemo_0_07.29_18.26.33_38.jpg,anemo_0_07.29_18.26.33_21.jpg,0.9399107598223556
anemo_0_07.24_11.56.33_26.jpg,anemo_0_07.24_11.56.33_19.jpg,0.9445055237883996
anemo_0_07.26_20.08.33._8.jpg,anemo_0_07.26_20.08.33._16.jpg,0.9360086160147555
selected_frame_517576.jpg,selected_frame_338086.jpg,0.9062460494241725
anemo_0_08.22_16.56.54_34.jpg,anemo_0_08.22_16.56.54_38.jpg,0.9071970692429915
anemo_0_07.24_22.08.33._7.jpg,anemo_0_07.24_22.08.33._23.jpg,0.9340109250114625
anemo_0_08.22_16.56.54_12.jpg,anemo_0_08.22_16.56.54_21.jpg,0.9068174034234228
anemo_0_07.25_17.38.33._40.jpg,anemo_0_07.25_17.38.33._26.jpg,0.9113742448885692
selected_frame_266825.jpg,selected_frame_681710.jpg,0.9097994157439466
anemo_0_07.20_21.38.34._1.jpg,anemo_0_07.20_21.38.34._9.jpg,0.9455502502709963
selected_frame_957213.jpg,selected_frame_218638.jpg,0.9097252580201709
anemo_0_07.27_16.08.33._6.jpg,anemo_0_07.27_16.08.33._0.jpg,0.9197690826221915
anemo_0_07.24_18.08.34._0.jpg,anemo_0_07.24_18.08.34._33.jpg,0.925808629748457
anemo_0_07.24_09.26.33_41.jpg,anemo_0_07.24_09.26.33_29.jpg,0.9025130249288931
selected_frame_588309.jpg,selected_frame_338086.jpg,0.9066846320629706
anemo_0_07.25_17.38.33._22.jpg,anemo_0_07.25_17.38.33._12.jpg,0.9196502195840557
anemo_0_07.27_18.26.33_5.jpg,anemo_0_07.27_18.26.33_10.jpg,0.9207610970118333
anemo_0_07.29_19.56.33_2.jpg,anemo_0_07.29_19.26.33_9.jpg,0.9062441697445163
anemo_0_08.19_18.26.33_5.jpg,anemo_0_08.19_18.26.33_13.jpg,0.9205966631355468
anemo_0_08.19_18.56.33_15.jpg,anemo_0_08.19_18.56.33_13.jpg,0.9266134900755465
anemo_0_07.20_12.38.34._5.jpg,anemo_0_07.20_12.38.34._0.jpg,0.9169711556719332
anemo_0_07.26_14.38.33._27.jpg,anemo_0_07.26_14.38.33._25.jpg,0.9199236365549524
anemo_0_07.19_18.38.33._17.jpg,anemo_0_07.19_18.38.33._21.jpg,0.9423688725890296
anemo_0_07.22_10.26.33_1.jpg,anemo_0_07.22_10.26.33_19.jpg,0.9212959785290316
anemo_0_07.29_17.56.33_4.jpg,anemo_0_07.29_17.56.33_29.jpg,0.9392404290816211
anemo_0_07.23_08.38.33._8.jpg,anemo_0_07.23_08.38.33._10.jpg,0.9356882939118094
anemo_0_07.24_12.56.33_37.jpg,anemo_0_07.24_12.56.33_19.jpg,0.905089900299689
anemo_0_07.20_15.26.33_33.jpg,anemo_0_07.20_15.26.33_35.jpg,0.9277547106782884
selected_frame_589266.jpg,selected_frame_698139.jpg,0.9290161873002623
anemo_0_07.26_12.26.34_22.jpg,anemo_0_07.26_12.26.34_8.jpg,0.9225503330621511
anemo_0_07.24_22.08.33._29.jpg,anemo_0_07.24_22.08.33._17.jpg,0.9265274103456979
