Cluster,Class,Count,Percentage of class (%)
498,1,19,0.1
499,2,33,0.63
499,3,12,0.32
499,6,1,0.16
499,7,3,0.55
500,1,24,0.13
501,1,20,0.11
501,3,1,0.03
502,1,24,0.13
503,1,16,0.09
504,1,12,0.06
505,1,19,0.1
506,1,28,0.15
507,3,15,0.39
508,3,67,1.76
508,7,7,1.28
509,1,1,0.01
509,2,2,0.04
509,3,42,1.1
509,4,1,0.1
509,7,1,0.18
510,7,18,3.28
511,3,24,0.63
511,7,1,0.18
512,1,19,0.1
512,3,7,0.18
512,7,6,1.09
513,2,1,0.02
513,3,55,1.45
513,7,5,0.91
514,2,53,1.01
515,2,12,0.23
515,3,2,0.05
516,1,1,0.01
516,2,54,1.03
516,4,1,0.1
517,3,17,0.45
518,1,1,0.01
518,2,44,0.84
518,3,8,0.21
519,3,38,1.0
520,1,1,0.01
520,3,1,0.03
520,4,1,0.1
520,7,14,2.55
521,2,18,0.34
522,3,15,0.39
522,7,2,0.36
523,1,4,0.02
523,3,23,0.6
524,2,32,0.61
524,3,1,0.03
525,1,28,0.15
526,3,10,0.26
526,4,1,0.1
527,1,18,0.1
528,1,20,0.11
529,1,16,0.09
530,1,13,0.07
531,1,50,0.27
532,3,11,0.29
533,3,41,1.08
533,7,2,0.36
534,3,1,0.03
534,4,1,0.1
534,7,27,4.92
535,3,13,0.34
536,2,10,0.19
536,4,12,1.23
537,1,6,0.03
537,2,11,0.21
538,4,15,1.54
539,2,25,0.48
540,2,1,0.02
540,3,24,0.63
541,1,2,0.01
541,2,1,0.02
541,3,20,0.53
541,6,3,0.49
542,3,23,0.6
542,4,1,0.1
543,1,17,0.09
543,2,8,0.15
543,3,1,0.03
543,5,1,0.14
543,7,1,0.18
544,1,2,0.01
544,3,91,2.39
545,3,40,1.05
546,2,7,0.13
546,3,17,0.45
547,2,6,0.11
547,3,7,0.18
548,1,3,0.02
548,2,45,0.86
548,3,2,0.05
548,4,2,0.21
548,6,1,0.16
549,3,19,0.5
550,3,20,0.53
551,1,2,0.01
551,3,43,1.13
551,6,1,0.16
551,7,3,0.55
552,2,1,0.02
552,3,34,0.89
553,1,1,0.01
553,3,16,0.42
553,4,1,0.1
553,6,1,0.16
553,7,8,1.46
554,2,13,0.25
555,1,82,0.44
556,1,16,0.09
557,2,34,0.65
558,4,2,0.21
558,6,26,4.24
558,9,1,0.49
559,4,6,0.62
559,6,40,6.53
559,9,14,6.9
560,4,4,0.41
560,6,4,0.65
560,9,4,1.97
561,1,1,0.01
561,3,2,0.05
561,4,16,1.65
561,6,9,1.47
561,9,6,2.96
562,1,21,0.11
563,2,7,0.13
563,3,11,0.29
563,4,1,0.1
564,1,1,0.01
564,3,20,0.53
564,4,2,0.21
564,6,7,1.14
564,7,54,9.84
565,1,50,0.27
566,1,37,0.2
567,1,2,0.01
567,3,21,0.55
567,4,1,0.1
567,6,2,0.33
567,7,20,3.64
568,1,39,0.21
569,1,17,0.09
570,1,37,0.2
571,1,29,0.16
572,1,87,0.47
573,1,12,0.06
574,1,23,0.12
575,1,23,0.12
576,1,33,0.18
577,2,33,0.63
577,3,6,0.16
578,1,23,0.12
579,1,30,0.16
580,1,43,0.23
581,1,15,0.08
582,1,27,0.15
583,1,24,0.13
584,1,26,0.14
585,2,1,0.02
585,3,41,1.08
586,1,31,0.17
587,1,20,0.11
588,1,1,0.01
588,2,11,0.21
589,1,21,0.11
589,5,1,0.14
590,1,23,0.12
591,1,51,0.28
591,4,1,0.1
592,1,1,0.01
592,3,9,0.24
592,6,1,0.16
592,7,1,0.18
593,2,12,0.23
594,1,11,0.06
594,5,1,0.14
595,1,37,0.2
596,1,23,0.12
597,1,48,0.26
598,1,1,0.01
598,3,23,0.6
599,1,127,0.69
600,1,13,0.07
601,1,40,0.22
602,1,33,0.18
603,1,53,0.29
603,2,1,0.02
603,3,3,0.08
604,1,33,0.18
605,1,15,0.08
606,1,16,0.09
607,1,33,0.18
608,1,56,0.3
608,4,1,0.1
609,2,1,0.02
609,7,25,4.55
610,1,22,0.12
611,1,20,0.11
612,3,1,0.03
612,7,11,2.0
613,3,20,0.53
614,3,41,1.08
614,7,1,0.18
615,3,27,0.71
615,5,2,0.29
615,7,8,1.46
616,1,15,0.08
616,2,1,0.02
616,4,1,0.1
617,1,11,0.06
617,3,1,0.03
618,2,35,0.67
