Cluster,Class,Count,Percentage of class (%)
661,9,154,75.86
662,4,3,0.31
662,5,44,6.29
662,6,1,0.16
663,4,2,0.21
663,5,61,8.71
664,1,25,0.13
665,1,35,0.19
666,1,10,0.05
667,1,13,0.07
668,1,56,0.3
669,1,22,0.12
670,1,12,0.06
671,1,14,0.08
672,1,26,0.14
673,1,48,0.26
674,1,19,0.1
675,1,42,0.23
676,1,16,0.09
677,1,16,0.09
678,1,17,0.09
679,1,21,0.11
680,1,11,0.06
681,1,20,0.11
682,1,23,0.12
683,1,23,0.12
684,1,22,0.12
685,1,14,0.08
686,1,14,0.08
687,1,61,0.33
687,2,1,0.02
687,3,5,0.13
687,5,1,0.14
688,1,45,0.24
689,1,30,0.16
690,1,13,0.07
691,1,33,0.18
692,1,45,0.24
693,1,18,0.1
694,1,27,0.15
695,1,18,0.1
696,1,15,0.08
697,1,10,0.05
698,1,22,0.12
699,1,23,0.12
700,1,19,0.1
701,1,24,0.13
702,1,11,0.06
703,1,16,0.09
704,1,92,0.5
704,2,2,0.04
705,1,62,0.33
706,1,29,0.16
707,1,58,0.31
708,1,11,0.06
709,1,13,0.07
710,1,29,0.16
710,2,1,0.02
710,3,1,0.03
711,1,24,0.13
712,1,41,0.22
713,1,20,0.11
714,1,33,0.18
714,3,1,0.03
715,1,10,0.05
716,1,15,0.08
717,1,140,0.76
717,4,1,0.1
717,5,2,0.29
718,1,48,0.26
719,1,32,0.17
720,1,42,0.23
721,1,16,0.09
722,1,29,0.16
723,1,55,0.3
723,7,1,0.18
724,1,35,0.19
725,1,28,0.15
726,1,16,0.09
727,1,54,0.29
728,1,45,0.24
729,1,21,0.11
730,1,69,0.37
731,1,14,0.08
732,1,12,0.06
732,6,2,0.33
733,1,13,0.07
734,1,12,0.06
735,1,33,0.18
736,1,30,0.16
737,1,17,0.09
738,1,11,0.06
739,1,20,0.11
740,1,21,0.11
741,1,35,0.19
742,1,14,0.08
743,1,16,0.09
744,1,94,0.51
745,1,36,0.19
746,1,32,0.17
747,1,30,0.16
748,1,15,0.08
749,1,45,0.24
