Cluster,Class,Count,Percentage of class (%)
377,1,31,0.17
378,1,29,0.16
378,2,1,0.02
379,1,14,0.08
380,1,13,0.07
381,1,12,0.06
382,1,15,0.08
383,1,38,0.2
383,4,2,0.21
384,1,30,0.16
385,1,2,0.01
385,2,45,0.86
385,3,4,0.11
385,6,1,0.16
386,1,25,0.13
386,2,2,0.04
386,3,1,0.03
386,5,1,0.14
387,1,26,0.14
387,2,4,0.08
388,1,66,0.36
389,1,20,0.11
390,1,36,0.19
390,3,2,0.05
390,5,1,0.14
391,1,17,0.09
391,4,1,0.1
392,1,27,0.15
392,3,1,0.03
393,1,17,0.09
394,1,17,0.09
395,1,23,0.12
396,2,18,0.34
397,1,13,0.07
398,1,44,0.24
399,1,18,0.1
399,2,3,0.06
400,2,1,0.02
400,3,16,0.42
400,4,1,0.1
401,3,26,0.68
402,2,30,0.57
403,3,24,0.63
404,1,13,0.07
404,3,1,0.03
405,3,14,0.37
406,1,1,0.01
406,3,16,0.42
407,1,62,0.33
407,2,11,0.21
407,6,1,0.16
408,1,20,0.11
409,1,22,0.12
410,1,1,0.01
410,2,11,0.21
411,1,41,0.22
411,5,1,0.14
412,1,16,0.09
413,1,14,0.08
414,1,25,0.13
415,1,20,0.11
415,5,2,0.29
416,1,15,0.08
417,1,18,0.1
417,5,1,0.14
418,1,1,0.01
418,3,1,0.03
418,4,1,0.1
418,7,20,3.64
419,1,56,0.3
419,4,7,0.72
419,5,2,0.29
419,6,3,0.49
420,1,18,0.1
420,2,1,0.02
420,7,1,0.18
421,1,12,0.06
421,5,1,0.14
421,7,1,0.18
422,1,26,0.14
422,2,2,0.04
422,4,5,0.51
422,6,4,0.65
422,7,1,0.18
423,1,2,0.01
423,2,16,0.31
423,4,1,0.1
423,5,1,0.14
423,7,2,0.36
424,1,14,0.08
425,1,10,0.05
426,1,1,0.01
426,4,18,1.85
426,6,8,1.31
426,9,10,4.93
427,1,14,0.08
428,1,21,0.11
429,1,2,0.01
429,3,3,0.08
429,4,2,0.21
429,6,11,1.79
430,2,1,0.02
430,3,22,0.58
430,4,1,0.1
430,6,2,0.33
431,1,15,0.08
431,2,1,0.02
432,1,16,0.09
433,1,35,0.19
433,4,3,0.31
434,1,24,0.13
435,1,52,0.28
436,1,20,0.11
437,1,26,0.14
437,2,3,0.06
437,4,4,0.41
438,1,1,0.01
438,2,2,0.04
438,3,15,0.39
438,4,7,0.72
439,1,18,0.1
440,1,13,0.07
441,1,38,0.2
442,1,8,0.04
442,2,4,0.08
442,3,12,0.32
443,1,15,0.08
444,1,12,0.06
445,1,13,0.07
446,1,17,0.09
447,1,4,0.02
447,2,47,0.9
447,4,1,0.1
448,7,18,3.28
449,1,1,0.01
449,3,36,0.95
449,7,2,0.36
450,1,18,0.1
451,1,52,0.28
452,1,20,0.11
453,1,7,0.04
453,2,3,0.06
453,3,54,1.42
453,4,5,0.51
453,6,5,0.82
453,7,15,2.73
454,2,14,0.27
454,3,2,0.05
455,1,31,0.17
455,2,2,0.04
455,3,9,0.24
455,4,2,0.21
455,5,1,0.14
455,6,2,0.33
455,9,1,0.49
456,1,21,0.11
457,1,29,0.16
458,1,15,0.08
459,1,26,0.14
460,1,1,0.01
460,3,60,1.58
460,4,1,0.1
461,3,13,0.34
462,1,20,0.11
463,1,61,0.33
463,2,6,0.11
464,1,29,0.16
465,1,15,0.08
466,1,15,0.08
467,3,21,0.55
467,6,2,0.33
468,1,13,0.07
469,1,11,0.06
470,1,17,0.09
471,1,20,0.11
472,1,37,0.2
472,2,1,0.02
472,3,2,0.05
472,4,3,0.31
472,6,4,0.65
472,9,2,0.99
473,1,18,0.1
474,2,21,0.4
474,3,2,0.05
474,4,1,0.1
475,1,15,0.08
476,1,12,0.06
477,1,15,0.08
477,3,1,0.03
478,1,26,0.14
479,1,17,0.09
480,1,18,0.1
481,1,17,0.09
482,1,36,0.19
482,2,20,0.38
483,1,29,0.16
484,1,31,0.17
485,3,24,0.63
486,2,13,0.25
486,4,4,0.41
487,2,3,0.06
487,3,17,0.45
487,4,3,0.31
488,3,10,0.26
488,6,1,0.16
489,1,21,0.11
490,3,23,0.6
491,3,42,1.1
492,1,1,0.01
492,3,54,1.42
493,1,32,0.17
494,1,27,0.15
494,5,1,0.14
495,1,3,0.02
495,2,3,0.06
