Cluster,Class,Count,Percentage of class (%)
434,2,26,0.5
435,2,53,1.01
435,4,1,0.1
436,1,7,0.04
436,2,1,0.02
436,3,2,0.05
436,5,1,0.14
436,7,37,6.74
437,2,21,0.4
438,2,10,0.19
438,6,1,0.16
439,1,20,0.11
439,4,1,0.1
440,3,16,0.42
440,4,1,0.1
441,1,28,0.15
442,2,38,0.73
443,2,28,0.53
444,2,34,0.65
445,2,37,0.71
446,2,38,0.73
447,2,21,0.4
448,2,19,0.36
449,2,20,0.38
450,2,69,1.32
451,2,23,0.44
452,2,36,0.69
453,2,26,0.5
454,2,19,0.36
455,2,19,0.36
456,3,26,0.68
456,4,1,0.1
457,1,1,0.01
457,3,41,1.08
457,7,2,0.36
458,3,24,0.63
458,7,2,0.36
459,3,37,0.97
459,4,10,1.03
459,6,1,0.16
460,1,23,0.12
461,3,13,0.34
462,2,9,0.17
462,3,8,0.21
462,7,1,0.18
463,2,2,0.04
463,3,15,0.39
464,2,32,0.61
464,4,1,0.1
465,2,14,0.27
466,3,11,0.29
466,4,1,0.1
467,2,14,0.27
467,3,1,0.03
468,1,13,0.07
469,1,22,0.12
470,1,54,0.29
471,1,36,0.19
471,2,1,0.02
472,1,26,0.14
473,1,11,0.06
474,1,9,0.05
474,7,1,0.18
475,1,23,0.12
475,5,1,0.14
475,6,1,0.16
476,1,1,0.01
476,2,1,0.02
476,3,7,0.18
476,4,1,0.1
476,7,2,0.36
477,1,14,0.08
478,1,21,0.11
479,2,27,0.52
479,3,1,0.03
480,1,25,0.13
481,1,16,0.09
482,1,18,0.1
483,1,45,0.24
484,1,52,0.28
485,1,8,0.04
485,2,33,0.63
485,3,4,0.11
485,4,15,1.54
485,6,8,1.31
485,9,1,0.49
486,2,10,0.19
486,3,1,0.03
487,3,54,1.42
487,4,1,0.1
488,1,28,0.15
489,1,50,0.27
490,1,19,0.1
491,1,1,0.01
491,2,8,0.15
491,3,69,1.81
491,4,8,0.82
491,6,1,0.16
492,2,1,0.02
492,3,12,0.32
492,4,4,0.41
492,6,2,0.33
492,7,4,0.73
492,9,1,0.49
493,3,62,1.63
493,4,1,0.1
494,2,2,0.04
494,3,16,0.42
495,2,34,0.65
495,4,1,0.1
496,1,37,0.2
497,1,11,0.06
498,1,15,0.08
498,4,1,0.1
499,1,40,0.22
499,4,4,0.41
499,5,2,0.29
500,1,25,0.13
500,5,1,0.14
501,3,41,1.08
501,4,4,0.41
501,7,28,5.1
502,4,17,1.75
503,3,22,0.58
503,4,1,0.1
504,3,17,0.45
505,3,23,0.6
505,7,1,0.18
506,2,9,0.17
506,3,9,0.24
507,2,1,0.02
507,3,2,0.05
507,4,1,0.1
507,7,34,6.19
508,3,16,0.42
509,1,27,0.15
509,4,2,0.21
509,5,1,0.14
510,1,37,0.2
510,5,2,0.29
511,3,13,0.34
512,3,40,1.05
512,4,2,0.21
513,1,11,0.06
514,1,1,0.01
514,2,63,1.2
514,3,11,0.29
514,7,5,0.91
515,1,14,0.08
515,2,3,0.06
515,3,1,0.03
516,1,28,0.15
517,1,23,0.12
518,2,2,0.04
518,3,42,1.1
518,4,2,0.21
518,6,1,0.16
518,7,4,0.73
519,1,1,0.01
519,2,1,0.02
519,3,37,0.97
519,4,1,0.1
519,7,1,0.18
520,3,15,0.39
521,1,1,0.01
521,7,15,2.73
522,1,15,0.08
522,2,2,0.04
523,1,14,0.08
524,1,15,0.08
524,3,1,0.03
525,1,2,0.01
525,2,42,0.8
526,1,14,0.08
527,1,33,0.18
528,1,31,0.17
528,2,1,0.02
529,1,1,0.01
529,2,1,0.02
529,3,58,1.53
529,4,4,0.41
529,7,7,1.28
530,1,14,0.08
530,7,2,0.36
531,1,3,0.02
531,4,1,0.1
531,7,12,2.19
