Cluster,Class,Count,Percentage of class (%)
362,2,37,0.71
362,3,1,0.03
363,1,12,0.06
364,1,18,0.1
365,1,23,0.12
366,1,19,0.1
367,1,23,0.12
368,1,39,0.21
369,1,29,0.16
370,1,16,0.09
371,1,1,0.01
371,4,1,0.1
371,7,16,2.91
372,7,17,3.1
373,1,14,0.08
374,3,41,1.08
374,4,1,0.1
374,6,1,0.16
375,1,48,0.26
375,2,1,0.02
375,6,1,0.16
376,1,22,0.12
377,1,46,0.25
378,1,50,0.27
379,1,60,0.32
379,2,1,0.02
380,1,16,0.09
380,2,2,0.04
381,1,14,0.08
382,1,19,0.1
383,1,32,0.17
384,1,12,0.06
385,1,32,0.17
386,1,24,0.13
387,1,28,0.15
388,1,19,0.1
389,1,33,0.18
390,1,21,0.11
391,1,24,0.13
392,1,44,0.24
393,1,27,0.15
393,4,2,0.21
394,1,12,0.06
394,2,1,0.02
395,1,26,0.14
396,1,12,0.06
397,1,18,0.1
398,1,21,0.11
399,1,46,0.25
400,1,47,0.25
401,1,10,0.05
402,1,10,0.05
403,1,45,0.24
404,1,16,0.09
405,1,24,0.13
406,1,51,0.28
407,1,11,0.06
407,7,1,0.18
408,1,47,0.25
409,1,26,0.14
410,1,13,0.07
411,1,20,0.11
412,1,24,0.13
413,1,11,0.06
414,1,44,0.24
415,1,38,0.2
416,1,23,0.12
417,1,49,0.26
418,1,39,0.21
419,1,37,0.2
420,1,13,0.07
421,1,24,0.13
422,1,28,0.15
423,1,11,0.06
424,1,12,0.06
425,1,55,0.3
426,1,26,0.14
427,1,23,0.12
428,1,18,0.1
429,1,10,0.05
430,1,37,0.2
431,1,15,0.08
432,1,15,0.08
433,1,34,0.18
434,1,10,0.05
435,1,41,0.22
436,1,23,0.12
437,1,15,0.08
438,1,16,0.09
439,1,17,0.09
440,1,23,0.12
441,1,28,0.15
442,1,39,0.21
443,1,16,0.09
444,1,23,0.12
445,1,28,0.15
446,1,66,0.36
447,1,12,0.06
448,1,14,0.08
449,1,24,0.13
450,1,14,0.08
451,1,12,0.06
452,1,53,0.29
453,1,38,0.2
454,1,59,0.32
454,2,1,0.02
455,1,26,0.14
456,3,20,0.53
457,2,12,0.23
458,1,16,0.09
459,1,25,0.13
460,1,31,0.17
461,1,22,0.12
461,2,1,0.02
461,4,3,0.31
462,1,22,0.12
463,1,56,0.3
463,2,1,0.02
463,3,1,0.03
463,4,4,0.41
464,1,12,0.06
464,3,1,0.03
465,1,22,0.12
465,2,1,0.02
465,4,1,0.1
466,3,11,0.29
467,1,11,0.06
468,1,6,0.03
468,2,44,0.84
468,3,5,0.13
469,1,23,0.12
469,2,1,0.02
470,1,42,0.23
471,1,30,0.16
472,3,48,1.26
472,7,1,0.18
473,3,44,1.16
473,7,1,0.18
474,3,20,0.53
474,7,1,0.18
475,3,3,0.08
475,7,32,5.83
476,3,24,0.63
477,1,40,0.22
478,2,60,1.14
478,3,3,0.08
478,7,1,0.18
479,1,20,0.11
479,2,5,0.1
479,4,5,0.51
479,5,5,0.71
479,7,1,0.18
480,1,23,0.12
481,3,1,0.03
481,7,14,2.55
482,2,1,0.02
482,7,36,6.56
483,3,1,0.03
483,4,2,0.21
483,5,6,0.86
483,6,2,0.33
484,1,2,0.01
484,2,33,0.63
484,4,1,0.1
485,2,14,0.27
485,3,1,0.03
486,3,23,0.6
487,2,1,0.02
487,3,35,0.92
487,6,1,0.16
487,7,1,0.18
488,1,11,0.06
489,2,13,0.25
490,1,17,0.09
491,1,13,0.07
492,3,9,0.24
492,7,1,0.18
493,1,6,0.03
493,2,2,0.04
493,3,12,0.32
493,4,2,0.21
493,6,3,0.49
494,1,13,0.07
495,1,18,0.1
496,1,26,0.14
496,5,1,0.14
497,1,13,0.07
498,1,18,0.1
499,1,26,0.14
499,4,1,0.1
500,1,27,0.15
501,1,34,0.18
502,1,27,0.15
503,1,32,0.17
504,1,18,0.1
505,1,19,0.1
506,1,15,0.08
507,1,41,0.22
507,4,1,0.1
508,1,11,0.06
508,2,1,0.02
509,1,18,0.1
509,4,1,0.1
510,2,1,0.02
510,3,16,0.42
510,4,1,0.1
511,1,14,0.08
512,1,16,0.09
513,1,79,0.43
514,1,13,0.07
515,1,24,0.13
516,1,20,0.11
517,1,25,0.13
517,5,1,0.14
518,1,23,0.12
519,1,13,0.07
520,2,4,0.08
520,3,20,0.53
521,1,12,0.06
521,2,20,0.38
522,3,25,0.66
522,7,4,0.73
523,3,12,0.32
523,6,1,0.16
524,2,20,0.38
524,3,3,0.08
524,4,1,0.1
525,1,22,0.12
526,1,24,0.13
527,3,40,1.05
527,4,5,0.51
527,7,28,5.1
528,1,14,0.08
529,1,21,0.11
530,1,24,0.13
531,1,18,0.1
532,1,20,0.11
533,1,21,0.11
534,2,11,0.21
535,1,14,0.08
536,1,42,0.23
536,2,3,0.06
536,3,1,0.03
536,4,5,0.51
536,6,7,1.14
537,1,22,0.12
537,2,2,0.04
537,4,1,0.1
538,1,31,0.17
539,1,19,0.1
539,4,1,0.1
540,1,12,0.06
540,2,1,0.02
540,4,1,0.1
541,3,16,0.42
542,3,12,0.32
543,2,40,0.76
543,4,1,0.1
543,6,5,0.82
544,2,68,1.3
544,4,1,0.1
545,1,26,0.14
546,1,15,0.08
547,3,11,0.29
547,4,1,0.1
548,3,21,0.55
549,3,17,0.45
549,4,1,0.1
550,1,11,0.06
551,1,21,0.11
552,2,1,0.02
552,3,4,0.11
552,7,33,6.01
553,3,13,0.34
554,3,11,0.29
555,3,15,0.39
556,1,1,0.01
556,3,21,0.55
557,3,52,1.37
557,6,1,0.16
558,3,22,0.58
559,3,40,1.05
560,2,4,0.08
560,3,52,1.37
560,7,2,0.36
561,1,1,0.01
561,3,43,1.13
561,6,1,0.16
561,7,4,0.73
562,3,18,0.47
562,6,1,0.16
