Cluster,Class,Count,Percentage of class (%)
374,3,22,0.58
375,2,27,0.52
376,1,22,0.12
376,3,3,0.08
376,4,1,0.1
377,3,27,0.71
377,5,1,0.14
378,1,22,0.12
379,1,15,0.08
380,1,63,0.34
380,5,1,0.14
381,2,28,0.53
382,2,1,0.02
382,3,11,0.29
382,6,1,0.16
382,7,4,0.73
383,1,12,0.06
383,3,1,0.03
384,1,12,0.06
385,1,23,0.12
386,1,26,0.14
387,1,36,0.19
388,1,35,0.19
389,1,29,0.16
390,1,16,0.09
390,2,11,0.21
390,3,3,0.08
390,5,1,0.14
390,6,1,0.16
390,7,1,0.18
391,2,17,0.32
392,2,1,0.02
392,3,36,0.95
392,4,3,0.31
392,5,1,0.14
392,6,2,0.33
393,2,3,0.06
393,3,20,0.53
393,7,1,0.18
394,2,19,0.36
395,2,32,0.61
396,1,1,0.01
396,2,56,1.07
397,2,16,0.31
398,1,17,0.09
399,1,36,0.19
400,1,26,0.14
401,3,25,0.66
402,1,1,0.01
402,2,14,0.27
402,6,2,0.33
402,9,1,0.49
403,1,34,0.18
403,5,2,0.29
404,1,27,0.15
405,1,29,0.16
406,1,18,0.1
407,2,26,0.5
407,9,1,0.49
408,2,5,0.1
408,3,24,0.63
409,1,22,0.12
410,1,21,0.11
411,2,1,0.02
411,3,6,0.16
411,4,2,0.21
411,6,24,3.92
411,9,5,2.46
412,1,13,0.07
412,3,2,0.05
412,6,1,0.16
413,1,24,0.13
414,2,15,0.29
415,2,1,0.02
415,3,13,0.34
416,1,13,0.07
416,4,1,0.1
417,1,1,0.01
417,2,1,0.02
417,3,39,1.03
418,1,22,0.12
419,1,13,0.07
419,5,1,0.14
420,1,8,0.04
420,2,1,0.02
420,4,10,1.03
421,1,15,0.08
422,1,26,0.14
422,3,1,0.03
422,4,1,0.1
423,1,11,0.06
423,2,1,0.02
424,2,27,0.52
425,2,53,1.01
426,1,10,0.05
427,2,23,0.44
428,2,58,1.11
428,3,1,0.03
429,1,39,0.21
429,4,1,0.1
430,2,38,0.73
430,3,1,0.03
430,6,1,0.16
431,2,34,0.65
432,3,54,1.42
432,7,5,0.91
433,1,16,0.09
434,1,15,0.08
435,1,37,0.2
436,1,22,0.12
437,1,11,0.06
438,2,51,0.97
439,1,22,0.12
439,2,3,0.06
440,1,42,0.23
441,1,96,0.52
442,1,4,0.02
442,2,3,0.06
442,3,24,0.63
443,2,44,0.84
443,3,1,0.03
444,1,17,0.09
445,1,37,0.2
446,1,14,0.08
447,2,12,0.23
447,3,1,0.03
448,1,1,0.01
448,2,50,0.95
448,7,2,0.36
449,1,39,0.21
450,1,30,0.16
450,2,1,0.02
451,1,29,0.16
452,1,50,0.27
453,1,20,0.11
454,1,81,0.44
455,1,19,0.1
456,1,56,0.3
457,1,35,0.19
458,1,25,0.13
459,1,26,0.14
459,3,1,0.03
460,1,28,0.15
461,1,18,0.1
462,1,48,0.26
463,1,10,0.05
463,2,1,0.02
464,1,62,0.33
465,1,11,0.06
465,4,1,0.1
466,1,18,0.1
467,1,53,0.29
468,1,29,0.16
469,1,19,0.1
470,1,12,0.06
471,1,43,0.23
472,1,21,0.11
473,1,22,0.12
474,1,38,0.2
475,1,12,0.06
476,1,27,0.15
477,1,26,0.14
478,1,34,0.18
479,1,13,0.07
480,1,23,0.12
481,1,39,0.21
482,1,14,0.08
483,1,27,0.15
484,1,18,0.1
485,1,37,0.2
486,1,23,0.12
487,1,11,0.06
487,4,1,0.1
488,1,26,0.14
489,1,26,0.14
490,1,42,0.23
490,4,1,0.1
491,2,48,0.92
491,3,1,0.03
491,5,1,0.14
491,6,2,0.33
491,7,1,0.18
492,2,22,0.42
493,1,64,0.35
493,5,8,1.14
494,2,10,0.19
494,3,2,0.05
494,4,1,0.1
495,1,42,0.23
496,1,25,0.13
497,3,10,0.26
497,6,1,0.16
