Cluster,Class,Count,Percentage of class (%)
404,1,17,0.09
404,7,1,0.18
405,2,24,0.46
406,1,22,0.12
406,2,18,0.34
407,2,47,0.9
407,3,2,0.05
408,2,25,0.48
409,2,23,0.44
410,2,35,0.67
411,2,61,1.16
412,1,26,0.14
413,1,22,0.12
414,1,6,0.03
414,2,54,1.03
415,2,24,0.46
416,2,43,0.82
417,2,41,0.78
418,2,41,0.78
419,2,25,0.48
420,2,13,0.25
421,1,10,0.05
422,2,21,0.4
423,2,83,1.58
424,1,9,0.05
424,2,1,0.02
424,3,4,0.11
424,5,1,0.14
424,7,37,6.74
425,2,15,0.29
426,2,21,0.4
427,3,50,1.32
427,4,3,0.31
427,5,1,0.14
427,6,1,0.16
428,2,35,0.67
428,3,3,0.08
429,1,25,0.13
430,1,55,0.3
431,1,14,0.08
431,4,1,0.1
431,5,1,0.14
432,1,37,0.2
433,2,2,0.04
433,3,8,0.21
433,4,8,0.82
433,6,1,0.16
433,7,3,0.55
434,1,17,0.09
435,1,12,0.06
436,2,25,0.48
436,3,7,0.18
436,4,2,0.21
437,3,15,0.39
438,1,29,0.16
439,1,17,0.09
439,2,3,0.06
439,3,1,0.03
439,4,5,0.51
439,6,1,0.16
440,1,28,0.15
440,3,1,0.03
440,4,1,0.1
441,1,10,0.05
441,2,1,0.02
441,4,1,0.1
441,6,1,0.16
442,1,17,0.09
443,2,4,0.08
443,3,8,0.21
444,1,14,0.08
445,3,24,0.63
445,7,2,0.36
446,1,48,0.26
446,3,3,0.08
446,5,2,0.29
446,6,1,0.16
446,7,1,0.18
447,2,19,0.36
447,4,1,0.1
448,1,46,0.25
449,1,25,0.13
450,1,19,0.1
451,1,15,0.08
452,1,22,0.12
453,1,16,0.09
454,1,13,0.07
455,2,10,0.19
456,2,50,0.95
457,1,18,0.1
458,1,19,0.1
459,3,26,0.68
459,4,1,0.1
459,7,1,0.18
460,1,1,0.01
460,3,44,1.16
460,4,2,0.21
460,7,1,0.18
461,1,19,0.1
462,1,25,0.13
463,1,28,0.15
464,1,33,0.18
465,1,13,0.07
466,1,1,0.01
466,3,13,0.34
467,1,13,0.07
468,1,13,0.07
469,1,20,0.11
469,4,1,0.1
470,1,10,0.05
470,2,49,0.93
470,3,6,0.16
470,4,22,2.26
470,6,9,1.47
470,9,1,0.49
471,1,23,0.12
472,1,55,0.3
473,1,46,0.25
473,3,1,0.03
473,4,5,0.51
473,5,2,0.29
474,1,23,0.12
474,5,1,0.14
475,2,15,0.29
476,2,32,0.61
476,4,1,0.1
477,2,8,0.15
